product,issue,sub_product,timely,company_response,submitted_via,company,state,sub_issue,Count of complaint_id,Month Year
Checking or savings account,Closing an account,CD (Certificate of Deposit),Yes,Closed with explanation,Web,FIRST NATIONAL BANK OF OMAHA,NE,Company closed your account,1,2024-08-11
Checking or savings account,Closing an account,CD (Certificate of Deposit),Yes,Closed with explanation,Web,GOLDMAN SACHS BANK USA,OR,Funds not received from closed account,1,2024-08-12
Checking or savings account,Closing an account,CD (Certificate of Deposit),Yes,Closed with explanation,Web,GOLDMAN SACHS BANK USA,WY,Funds not received from closed account,1,2024-02-08
Checking or savings account,Closing an account,CD (Certificate of Deposit),Yes,Closed with explanation,Web,"WEBSTER BANK, NATIONAL ASSOCIATION",VT,Can't close your account,1,2024-04-24
Checking or savings account,Closing an account,CD (Certificate of Deposit),Yes,Closed with explanation,Web,WELLS FARGO & COMPANY,SD,Fees charged for closing account,1,2024-05-01
Checking or savings account,Closing an account,CD (Certificate of Deposit),Yes,Closed with monetary relief,Referral,U.S. BANCORP,NM,Funds not received from closed account,1,2024-08-23
Checking or savings account,Closing an account,CD (Certificate of Deposit),Yes,Closed with monetary relief,Web,JPMORGAN CHASE & CO.,AK,Funds not received from closed account,1,2024-08-06
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Phone,HANCOCK WHITNEY BANK,VT,Company closed your account,1,2023-12-15
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Phone,JPMORGAN CHASE & CO.,DC,Company closed your account,1,2024-08-19
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Phone,JPMORGAN CHASE & CO.,WY,Funds not received from closed account,1,2024-04-18
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Phone,TD BANK US HOLDING COMPANY,ID,Company closed your account,1,2024-07-18
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Phone,TD BANK US HOLDING COMPANY,VT,Company closed your account,1,2023-12-15
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Phone,WELLS FARGO & COMPANY,WY,Funds not received from closed account,1,2024-04-15
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Postal mail,"CHARLES SCHWAB CORPORATION, THE",AK,Can't close your account,1,2024-08-08
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Referral,JPMORGAN CHASE & CO.,MT,Company closed your account,1,2024-03-01
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,"BANK OF AMERICA, NATIONAL ASSOCIATION",CT,Funds not received from closed account,1,2024-08-27
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,DC,Company closed your account,1,2024-08-30
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,CAPITAL ONE FINANCIAL CORPORATION,ME,Funds not received from closed account,1,2024-07-09
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,"CITIBANK, N.A.",WA,Company closed your account,1,2024-08-30
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,"CITIBANK, N.A.",WY,Funds not received from closed account,1,2024-07-16
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,"CITIZENS FINANCIAL GROUP, INC.",NH,Company closed your account,1,2024-08-19
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,Chime Financial Inc,AR,Company closed your account,1,2024-08-23
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,Chime Financial Inc,ID,Funds not received from closed account,1,2024-06-21
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,"Dave Operating, LLC",MA,Can't close your account,1,2024-08-29
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,FinCo Services Inc DBA Current,KS,Funds not received from closed account,1,2024-08-31
Checking or savings account,Closing an account,Checking account,Yes,Closed with explanation,Web,"HUNTINGTON NATIONAL BANK, THE",WY,Funds not received from closed account,1,2024-06-08
